"v_spot_index","alsfc_ctprvn_nm","alsfc_signgu_nm","alsfc_nm","alsfc_rprsntv_tel_no","alsfc_addr","alsfc_detail_addr","alsfc_main_item_nm","alsfc_lo","alsfc_la"
714,서울,금천구,금천구청(금나래문화체육센터),"02-805-7678",서울특별시 금천구 시흥대로79길 32,금나래문화체육센터(독산동),헬스,"126.8960531","37.4589314"
715,서울,금천구,TOP용인대박사태권도장,"02-898-1551",서울특별시 금천구 한내로 62,"독산한신아파트상가 3층 TOP용인대박사태권도(독산동, 한신아파트)",태권도,"126.8897219","37.4558526"
716,서울,금천구,SBS당구클럽,"",서울특별시 금천구 시흥대로71길 44,"3층(시흥동)",당구,"126.8994473","37.4549954"
717,서울,금천구,sbs당구장,"02-6292-3323",서울특별시 금천구 시흥대로71길 44,"3층sbs당구장(시흥동)",기타종목,"126.8994473","37.4549954"
718,서울,강북구,요가힐엔필라테스,"02-980-0213",서울특별시 강북구 솔샘로 223,삼미빌딩 3층 요가힐엔필라테스(미아동),요가,"127.0175897","37.6202822"
719,서울,서대문구,거산MMA태권도장,"02-3275-1212",서울시 서대문구 세검정로 89,MKA빌딩 2층,기타종목,"126.9486773","37.5957705"
720,서울,강남구,서울특별시립강남주민편익시설,"02-3412-2171",서울특별시 강남구 남부순환로 3318,강남주민편익시설(일원동),헬스,"127.0935988","37.4942316"
721,서울,강남구,수서경희대태권도장,"02-459-5600",서울특별시 강남구 밤고개로1길 22,"401호 수서경희대태권도(수서동)",태권도,"127.1027166","37.4885272"
722,서울,서대문구,아레아필라테스,"02-379-0990",서울특별시 서대문구 세검정로 87-4,필라테스(홍제동),필라테스,"126.9485509","37.5957"
723,서울,노원구,동천재활체육센터,"02-949-9114",서울특별시 노원구 노원로18길 41,동천재활체육센터(하계동),탁구,"127.0728729","37.6445781"
724,서울,동작구,국가대표넘버원태권도,"02-814-5186",서울특별시 동작구 만양로 26,"건영아파트상가218호(상도동, 건영아파트)",태권도,"126.9499848","37.5077626"
725,서울,영등포구,황룡체육관,"",서울특별시 영등포구 대방천로 180,"상가동203호(신길동, 우성2차아파트)",태권도,"126.9109188","37.4981477"
